process,efficiency,total_supplychain_cost_USD,total_eol_cost_USD,cycles
STRAP,0.95,1309.9083295575574,358.8633237918273,1
STRAP,0.9,1333.3540623118479,367.07879844666644,1
STRAP,0.8,1385.094166538742,386.84655938390404,1
MASC,0.95,1656.4719858763572,736.0538531776589,1
MASC,0.9,1706.8941020182872,770.6066911696118,1
MASC,0.8,1821.6318473063438,851.9056003559298,1
STRAP,0.95,1148.530473086302,391.3596526204213,2
STRAP,0.9,1181.8645056947473,398.4960248485053,2
STRAP,0.8,1254.318951309038,415.86987415329486,2
MASC,0.95,1522.448822923192,817.65103149914,2
MASC,0.9,1584.1313121972169,852.2624465742628,2
MASC,0.8,1722.2931760758715,932.9811146046044,2
STRAP,0.95,1054.9843851826017,410.1968369753183,3
STRAP,0.9,1095.6101358668498,416.3842088629344,3
STRAP,0.8,1183.4066748341845,431.6076369818914,3
MASC,0.95,1442.7015017785234,866.2035073601663,3
MASC,0.9,1511.9504423091803,900.2736026017778,3
MASC,0.8,1665.9878563500981,978.9348473771327,3
STRAP,0.95,994.543926136836,422.36760857093805,4
STRAP,0.9,1040.9212852061632,427.7260600190899,4
STRAP,0.8,1140.7968819536422,441.0641492794113,4
MASC,0.95,1389.8692996247812,898.3692802405,4
MASC,0.9,1464.6477545197054,931.7370184279389,4
MASC,0.8,1630.461389024958,1007.9298658542964,4
STRAP,0.95,952.7142882960618,430.79075717247457,5
STRAP,0.9,1003.8489460710305,435.4144452640086,5
STRAP,0.8,1113.5987371048018,447.1003107776345,5
MASC,0.95,1352.3359037427124,921.2206973337538,5
MASC,0.9,1431.409521022789,953.8454526567691,5
MASC,0.8,1606.5087824211387,1027.478847876569,5
STRAP,0.95,922.3696895668077,436.9011869429507,6
STRAP,0.9,977.566319034979,440.8651658447929,6
STRAP,0.8,1095.5629342641773,451.10304770330276,6
MASC,0.95,1324.3287612666004,938.2722557997859,6
MASC,0.9,1406.893492207568,970.1523063487296,6
MASC,0.8,1589.62932488113,1041.255060939856,6
STRAP,0.95,899.5971880897459,441.4868389799143,7
STRAP,0.9,958.3354630718146,444.8534285949639,7
STRAP,0.8,1083.2985323153985,453.82492124480274,7
MASC,0.95,1302.654846890369,951.4679618054697,7
MASC,0.9,1388.156653427143,982.6151277520288,7
MASC,0.8,1577.360327733646,1051.2684347924212,7
STRAP,0.95,882.0685215713519,445.0165506985102,8
STRAP,0.9,943.936935920927,447.83952082108215,8
STRAP,0.8,1074.8155342633802,455.7075770845919,8
MASC,0.95,1285.4045746219285,961.9704265389271,8
MASC,0.9,1373.4440837885936,992.4012037244823,8
MASC,0.8,1568.2404151919623,1058.7116750739883,8
STRAP,0.95,868.3111339838229,447.7868476936645,9
STRAP,0.9,932.9697489069409,450.11399178201196,9
STRAP,0.8,1068.8787420068338,457.02514624385157,9
MASC,0.95,1271.365817134658,970.5176281782528,9
MASC,0.9,1361.6442187354317,1000.2498922073132,9
MASC,0.8,1561.3477882946265,1064.3371103984578,9
STRAP,0.95,857.3478590220901,449.99449994524986,10
STRAP,0.9,924.5064197614264,451.8691908453373,10
STRAP,0.8,1064.689678948283,457.9548369006294,10
MASC,0.95,1259.732111859447,977.6005644630249,10
MASC,0.9,1352.0186656246074,1006.6523355828468,10
MASC,0.8,1556.0728325514172,1068.642279213606,10
