process,solvent_energy,total_supplychain_cost_USD,total_eol_cost_USD,cycles
STRAP,Base,1309.9083295575574,358.8633237918273,1
STRAP,+50%,1314.0317869800194,362.98678121428935,1
STRAP,+100%,1318.4349406568153,367.38993489108526,1
MASC,Base,1656.4719858763572,736.0538531776589,1
MASC,-50%,1561.9032000171064,641.4850673184083,1
MASC,+50%,1752.566953287532,832.1488205888338,1
STRAP,Base,1148.530473086302,391.3596526204213,2
STRAP,+50%,1153.107074804218,395.9362543383373,2
STRAP,+100%,1157.994109788913,400.8232893230322,2
MASC,Base,1522.448822923192,817.65103149914,2
MASC,-50%,1416.5190055342355,711.7212141101835,2
MASC,+50%,1630.0881698533053,925.2903784292533,2
STRAP,Base,1054.9843851826017,410.1968369753183,3
STRAP,+50%,1059.8236615761052,415.0361133688219,3
STRAP,+100%,1064.9911885957886,420.2036403885052,3
MASC,Base,1442.7015017785234,866.2035073601663,3
MASC,-50%,1330.011570615422,753.5135761970649,3
MASC,+50%,1557.2100593780972,980.71206495974,3
STRAP,Base,994.543926136836,422.36760857093805,4
STRAP,+50%,999.5529175695035,427.3766000036055,4
STRAP,+100%,1004.901671487428,432.72535392153,4
MASC,Base,1389.8692996247812,898.3692802405,4
MASC,-50%,1272.7008268333032,781.200807449022,4
MASC,+50%,1508.9286750012582,1017.428655616977,4
STRAP,Base,952.7142882960618,430.79075717247457,5
STRAP,+50%,957.8407361269176,435.91720500333025,5
STRAP,+100%,963.3149135714021,441.3913824478149,5
MASC,Base,1352.3359037427124,921.2206973337538,5
MASC,-50%,1231.9857563463593,800.8705499374008,5
MASC,+50%,1474.6283006145006,1043.513094205542,5
STRAP,Base,922.3696895668077,436.9011869429507,6
STRAP,+50%,927.5813441423351,442.112841518478,6
STRAP,+100%,933.1465079491487,447.6780053252917,6
MASC,Base,1324.3287612666004,938.2722557997859,6
MASC,-50%,1201.604471806168,815.5479663393535,6
MASC,+50%,1449.03361487244,1062.9771094056255,6
STRAP,Base,899.5971880897459,441.4868389799143,7
STRAP,+50%,904.8727871825893,446.7624380727576,7
STRAP,+100%,910.5062328964738,452.3958837866421,7
MASC,Base,1302.654846890369,951.4679618054697,7
MASC,-50%,1178.0932778196461,826.9063927347468,7
MASC,+50%,1429.226630717126,1078.0397456322266,7
STRAP,Base,882.0685215713519,445.0165506985102,8
STRAP,+50%,887.3933406464989,450.3413697736572,8
STRAP,+100%,893.0793449595997,456.02737408675796,8
MASC,Base,1285.4045746219285,961.9704265389271,8
MASC,-50%,1159.3807143858626,835.946566302861,8
MASC,+50%,1413.4622485402472,1090.0281004572457,8
STRAP,Base,868.3111339838229,447.7868476936645,9
STRAP,+50%,873.6745834004674,453.15029711030917,9
STRAP,+100%,879.4018383711534,458.8775520809951,9
MASC,Base,1271.365817134658,970.5176281782528,9
MASC,-50%,1144.151903157609,843.3037142012038,9
MASC,+50%,1400.6327502648642,1099.784561308459,9
STRAP,Base,857.3478590220901,449.99449994524986,10
STRAP,+50%,862.7420929937972,455.388733916957,10
STRAP,+100%,868.5022206518723,461.14886157503224,10
MASC,Base,1259.732111859447,977.6005644630249,10
MASC,-50%,1131.5320184076966,849.4004710112744,10
MASC,+50%,1390.0011397466276,1107.8695923502053,10
