eol_process,cycles,virgin_film_prod_lb,eol_film_prod_lb,eol_polyethylene_prod_lb,final_landfill
STRAP,1,772.1961471103327,1432.4238528896672,1114.1074411364077,660.2277057793344
MASC,1,747.3288135593219,1457.2911864406778,0.0,709.9623728813558
STRAP,2,614.780990093488,1589.839009906512,1236.5414521495093,449.420273283092
MASC,2,572.2569759896171,1632.3630240103826,0.0,516.4619208306294
STRAP,3,523.5319647459775,1681.0880352540223,1307.5129163086838,327.22128612180603
MASC,3,468.0846094641577,1736.535390535842,0.0,401.3240420393322
STRAP,4,464.57564596159676,1740.0443540384028,1353.3678309187576,248.26808728190446
MASC,4,399.0709366772976,1805.5490633227023,0.0,325.0457721170131
STRAP,5,423.773152034333,1780.8468479656672,1385.1031039732966,193.6261509699547
MASC,5,350.04179542653293,1854.5782045734668,0.0,270.8556686293258
STRAP,6,394.1736773726436,1810.4463226273565,1408.124917599055,153.98708841131798
MASC,6,313.4566127586466,1891.1633872413531,0.0,230.41941410166197
STRAP,7,371.9603640094405,1832.6596359905595,1425.4019391037684,124.2394348430519
MASC,7,285.14440214098477,1919.475597859015,0.0,199.12697078740413
STRAP,8,354.86212108674835,1849.7578789132515,1438.7005724880844,101.34178788810149
MASC,8,262.61070872510146,1942.009291274898,0.0,174.22130964353312
STRAP,9,341.44255179399204,1863.1774482060077,1449.1380152713393,83.37055181768517
MASC,9,244.27215428171138,1960.3478457182887,0.0,153.95238104820723
STRAP,10,330.7484845455067,1873.8715154544939,1457.455623131273,69.04925708140944
MASC,10,229.0752725233899,1975.5447274766095,0.0,137.15582752585195
