eol_process,cycles,process,process_costs_USD
STRAP,1,"Barrier Film, initial",951.0450057657301
STRAP,1,Solvent Treatment and Precipitation,177.0045676089936
STRAP,1,Barrier Film,165.6871274612926
STRAP,1,"Landfilling, final",16.171628721541158
MASC,1,"Barrier Film, initial",920.4181326986981
MASC,1,Mechanical and Solvent Cleaning,718.6640226691843
MASC,1,"Landfilling, final",17.389830508474578
STRAP,2,"Barrier Film, initial",757.1708204658806
STRAP,2,Solvent Treatment and Precipitation,196.4563532984453
STRAP,2,Barrier Film,183.8951914588127
STRAP,2,"Landfilling, final",11.008107863163254
MASC,2,"Barrier Film, initial",704.7977914240518
MASC,2,Mechanical and Solvent Cleaning,805.0008043738967
MASC,2,"Landfilling, final",12.650227125243351
STRAP,3,"Barrier Film, initial",644.7875482072834
STRAP,3,Solvent Treatment and Precipitation,207.73199230975837
STRAP,3,Barrier Film,194.44988088469185
STRAP,3,"Landfilling, final",8.014963780868145
MASC,3,"Barrier Film, initial",576.497994418357
MASC,3,Mechanical and Solvent Cleaning,856.3734694079914
MASC,3,"Landfilling, final",9.830037952174953
STRAP,4,"Barrier Film, initial",572.176317565898
STRAP,4,Solvent Treatment and Precipitation,215.01722265076071
STRAP,4,Barrier Film,201.26930314254548
STRAP,4,"Landfilling, final",6.081082777631901
MASC,4,"Barrier Film, initial",491.5000193842812
MASC,4,Mechanical and Solvent Cleaning,890.4076035368872
MASC,4,"Landfilling, final",7.961676703612736
STRAP,5,"Barrier Film, initial",521.9235311235872
STRAP,5,Solvent Treatment and Precipitation,220.05918546113588
STRAP,5,Barrier Film,205.98888945662927
STRAP,5,"Landfilling, final",4.742682254709454
MASC,5,"Barrier Film, initial",431.11520640895844
MASC,5,Mechanical and Solvent Cleaning,914.5863539521354
MASC,5,"Landfilling, final",6.634343381618418
STRAP,6,"Barrier Film, initial",485.4685026238571
STRAP,6,Solvent Treatment and Precipitation,223.7167915554329
STRAP,6,Barrier Film,209.41263300932505
STRAP,6,"Landfilling, final",3.771762378192692
MASC,6,"Barrier Film, initial",386.05650546681454
MASC,6,Mechanical and Solvent Cleaning,932.6283587284131
MASC,6,"Landfilling, final",5.643897071372731
STRAP,7,"Barrier Film, initial",458.11034910983165
STRAP,7,Solvent Treatment and Precipitation,226.46168994502966
STRAP,7,Barrier Film,211.98202619216121
STRAP,7,"Landfilling, final",3.0431228427233736
MASC,7,"Barrier Film, initial",351.1868850848994
MASC,7,Mechanical and Solvent Cleaning,946.5905423760353
MASC,7,"Landfilling, final",4.877419429434472
STRAP,8,"Barrier Film, initial",437.05197087284176
STRAP,8,Solvent Treatment and Precipitation,228.57451925131303
STRAP,8,Barrier Film,213.9597639607562
STRAP,8,"Landfilling, final",2.4822674864409655
MASC,8,"Barrier Film, initial",323.4341480830015
MASC,8,Mechanical and Solvent Cleaning,957.7030467996747
MASC,8,"Landfilling, final",4.267379739252474
STRAP,9,"Barrier Film, initial",420.52428629015833
STRAP,9,Solvent Treatment and Precipitation,230.23277498014042
STRAP,9,Barrier Film,215.51199299087122
STRAP,9,"Landfilling, final",2.0420797226528835
MASC,9,"Barrier Film, initial",300.8481889564053
MASC,9,Mechanical and Solvent Cleaning,966.7467159228061
MASC,9,"Landfilling, final",3.770912255446831
STRAP,10,"Barrier Film, initial",407.3533590768402
STRAP,10,Solvent Treatment and Precipitation,231.5542405124835
STRAP,10,Barrier Film,216.74896574841438
STRAP,10,"Landfilling, final",1.691293684352002
MASC,10,"Barrier Film, initial",282.1315473964223
MASC,10,Mechanical and Solvent Cleaning,974.2410672769356
MASC,10,"Landfilling, final",3.3594971860892158
