Technology,Production Cost (USD),Scenario
"Barrier Film, initial",2715.2334914611592,BAU (Landfilling)
Landfilling,54.00000000000001,BAU (Landfilling)
"Barrier Film, initial",2715.2334914611592,Incineration
Incineration,1129724.2259170422,Incineration
"Barrier Film, initial",2715.2334914611592,Pyrolysis
Pyrolysis,1887.123980013352,Pyrolysis
"Barrier Film, initial",2715.2334914611592,Pelletizing
Pelletizing without Preheating,-2480.8950497752367,Pelletizing
"Landfilling, final",34.371,Pelletizing
"Barrier Film, initial",951.0450057657301,STRAP
Solvent Treatment and Precipitation,177.0045676089936,STRAP
Barrier Film,165.6871274612926,STRAP
"Landfilling, final",16.171628721541158,STRAP
"Barrier Film, initial",920.4181326986981,MASC
Mechanical and Solvent Cleaning,718.6640226691843,MASC
"Landfilling, final",17.389830508474578,MASC
